depth (m),station (#),latitude (deg N),longitude (deg W),chlorophyllide a (ng/l),chlorophyll c (ng/l),peridinin (ng/l),19-butanoyloxyfucoxanthin (ng/l),fucoxanthin (ng/l),19-hexanoyloxyfucoxanthin (ng/l),prasinoxanthin (ng/l),violaxanthin (ng/l),diadinoxanthin (ng/l),alloxanthin (ng/l),diatoxanthin (ng/l),lutein (ng/l),zeaxanthin (ng/l),chlorophyll b (ng/l),alpha carotene (ng/l),beta carotene (ng/l),divinyl chlorophyll a (ng/l),monovinyl chlorophyll a (ng/l),total chlorophyll a (ng/l)
50,43,34,202,0,61.8,5,84.6,35.7,152.9,2,1.6,16.2,0,5.5,2.5,16,53.4,6.2,5.6,29,360.3,389.3
65,43,34,202,0,10.4,1.4,27.7,14.1,41.8,1.4,0,4.7,0,1.3,0.4,7,22.1,3.5,2.4,8.9,121.7,130.6
80,43,34,202,0,23.2,1.7,52.4,27.1,86.1,1.1,1.3,8.4,0,4,2.5,14,38.1,5.4,4.4,17.5,240,257.6
100,43,34,202,0,53.3,5.5,81.9,33.8,148,2.5,1.3,14,0,5.5,2.8,15.2,55.5,6.8,5.1,21.3,354.7,376
125,43,34,202,0,0,1,10.3,3.2,16.6,0,0,1,0,0,0,0,14,1.6,0.5,0,50.4,50.4
150,43,34,202,0,0,0,4.5,1.6,7.8,0,0,0,0,0,0,0,4.8,0.4,0,0,22.2,22.2
200,43,34,202,0,0,0,1.2,0,1.6,0,0,0,0,0,0,0,0,0,0,0,6.7,6.7
0,42,34.25,202,4.4,54.8,11.4,99.5,36.6,175.8,1.8,7.7,58.4,0,7.2,2.2,30.9,51.5,4.9,10.7,20.6,522.2,542.8
20,42,34.25,202,5.8,56.6,20.8,118.9,38.4,214.2,3.3,9.7,51.7,0,8.2,2.3,34.6,61.2,6.3,11.5,23.2,612.8,636
35,42,34.25,202,2.8,99.1,24.3,160.5,49.2,291.4,4,8.6,44.9,0,11.3,2.9,39,81.6,8.4,13,28,777.7,805.7
50,42,34.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
65,42,34.25,202,4.5,48.4,9.4,102.1,57.4,211.3,6.1,3,18,0,7,1.2,22.5,86.3,7.7,8.2,45.7,514.3,560
80,42,34.25,202,1.6,58.1,7.6,81.2,40.6,172,3,2.3,15.6,0,6.2,0.9,16.8,65.5,6.6,7,22.7,436.8,459.5
100,42,34.25,202,0,0,3,29.3,19.8,68.6,2.8,1.1,6.3,0,2.8,1.1,10.1,26.7,3.2,3.4,11.9,174.3,186.3
125,42,34.25,202,0,0,0,6,1.6,9.5,0,0,0,0,0,0,0,5.4,0,0,0,28.7,28.7
150,42,34.25,202,0,0,0,2.8,0,4.4,0,0,0,0,0,0,0,0,0,0,0,15.5,15.5
200,42,34.25,202,0,0,0,1.2,0,2.9,0,0,0,0,0,0,0,0,0,0,0,9.4,9.4
0,41,34.5,202,0,146.6,10.7,152,56.4,344.8,5.1,8.8,105,10.7,12.9,1.5,41.7,62.3,7.6,16,70.5,810.4,880.9
