depth (m),station (#),latitude (N),longitude (W),prochlorococcus (mg/m3),prokaryotes (mg/m3),green algae (mg/m3),cryptophytes (mg/m3),prymesiophytes (mg/m3),pelagophytes (mg/m3),dinoflagellates (mg/m3),diatoms (mg/m3),SDP (mg/m3),Total C (mg/m3),Xn (mg/m3),Yp (mg/m3),picophytoplankton (mg/m3),nanophytoplankton (mg/m3),microphytoplankton (mg/m3)
150,22,31,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,22,31,202,5.624,0,9.292,0,0,0,0,0,9.292,7.6,0.08316,0.91684,9.292,0,0
0,23,31.25,202,16.946,19.178,0,0,4.699,0,0,0,23.877,39.3,0.48258,0.51742,21.609,2.2676,0
20,23,31.25,202,13.394,21.328,0,0,4.191,0,0,2.961,28.48,41.6,0.51156,0.48844,23.375,2.1439,2.961
35,23,31.25,202,16.872,29.584,2.222,0,8.001,0.735,0,3.525,44.067,49.7,0.61362,0.38638,34.897,5.6446,3.525
50,23,31.25,202,25.826,25.112,7.07,0,11.43,0.84,0,3.243,47.695,65.4,0.81144,0.18856,34.337,10.115,3.243
65,23,31.25,202,29.748,16.856,9.393,0,14.224,1.05,0,2.256,43.779,70.9,0.88074,0.11926,27.945,13.578,2.256
80,23,31.25,202,56.98,19.952,22.624,0,23.622,1.995,0,1.833,70.026,107.7,1,0,42.576,25.617,1.833
100,23,31.25,202,137.94,31.734,116.55,0,128.02,23.485,3.525,14.1,317.41,322.4,1,0,148.29,151.5,17.625
125,23,31.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,23,31.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,23,31.25,202,1.036,1.634,0,0,3.81,0,0,0,5.444,7,0.0756,0.9244,5.156,0.28804,0
0,24,31.5,202,14.874,16.168,4.141,0,3.81,0,0,2.397,26.516,34.2,0.41832,0.58168,22.525,1.5938,2.397
20,24,31.5,202,13.542,18.662,6.363,0,5.588,0.665,0,1.551,32.829,33.6,0.41076,0.58924,28.318,2.9603,1.551
35,24,31.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50,24,31.5,202,23.088,29.412,11.413,0,17.399,2.065,0,5.358,65.647,70,0.8694,0.1306,43.097,17.192,5.358
65,24,31.5,202,45.954,27.348,19.695,0,18.288,1.4,0,2.961,69.692,94.4,1,0,47.043,19.688,2.961
80,24,31.5,202,64.454,32.508,25.149,0,21.971,1.89,0,3.807,85.325,116.4,1,0,57.657,23.861,3.807
100,24,31.5,202,66.674,27.52,43.733,0,29.972,3.255,0,5.358,109.84,134.7,1,0,71.253,33.227,5.358
125,24,31.5,202,112.41,18.576,116.45,0,59.436,8.89,0,11.844,215.2,243.2,1,0,135.03,68.326,11.844
150,24,31.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,24,31.5,202,3.182,0,10.504,0,6.223,0.77,0,0,17.497,17.1,0.20286,0.79714,15.465,2.0324,0
0,25,31.75,202,19.61,23.994,0,0,6.858,0.595,0,2.679,34.126,49.9,0.61614,0.38386,26.627,4.8205,2.679
20,25,31.75,202,19.61,32.336,0,0,5.969,0.805,0,2.256,41.366,50.7,0.62622,0.37378,34.567,4.5429,2.256
35,25,31.75,202,18.722,25.284,6.767,0,7.874,0.63,0,2.538,43.093,53.3,0.65898,0.34102,34.736,5.8188,2.538
50,25,31.75,202,29.156,25.628,5.858,0,9.398,0.455,0,0,41.339,65.1,0.80766,0.19234,33.294,8.0454,0
65,25,31.75,202,36.334,29.24,12.827,0,17.018,1.4,0,4.935,65.42,91.2,1,0,42.067,18.418,4.935
80,25,31.75,202,80.66,36.894,19.493,0,24.384,1.54,0,3.384,85.695,144.7,1,0,56.387,25.924,3.384
100,25,31.75,202,149.41,32.594,79.083,0,62.865,8.05,0,5.499,188.09,271.6,1,0,111.68,70.915,5.499
125,25,31.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,25,31.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,25,31.75,202,1.554,1.634,0,0,3.048,0,0,0,4.682,9.1,0.10206,0.89794,4.3709,0.31108,0
0,26,32,202,38.258,25.886,9.898,0,8.509,0.91,0,0,45.203,52.7,0.65142,0.34858,38.75,6.4529,0
20,26,32,202,26.418,25.714,9.999,0,6.477,0.91,0,2.961,46.061,50.5,0.6237,0.3763,38.15,4.9497,2.961
35,26,32,202,21.164,23.134,12.12,0,11.176,1.68,0,5.217,53.327,61.6,0.76356,0.23644,37.896,10.214,5.217
50,26,32,202,65.194,37.754,25.351,0,20.32,2.66,0,7.191,93.276,116.3,1,0,63.105,22.98,7.191
65,26,32,202,81.918,31.476,35.956,0,25.019,3.885,0,5.64,101.98,147.3,1,0,67.432,28.904,5.64
80,26,32,202,102.49,27.864,71.609,0,71.755,13.125,0,5.922,190.28,240.8,1,0,99.473,84.88,5.922
100,26,32,202,92.056,15.394,89.183,0,97.409,18.025,0,11.703,231.71,304.7,1,0,104.58,115.43,11.703
125,26,32,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,26,32,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,26,32,202,8.658,1.29,12.726,0,5.334,0.98,0,0,20.33,21.5,0.2583,0.7417,17.972,2.3578,0
0,27,32.25,202,44.4,42.828,0,0,13.462,1.435,0,3.243,60.968,99,1,0,42.828,14.897,3.243
20,27,32.25,202,40.996,44.634,8.888,0,13.589,2.695,0,6.909,76.715,90.6,1,0,53.522,16.284,6.909
35,27,32.25,202,69.856,44.72,20.402,0,14.224,2.24,0,5.922,87.508,122.8,1,0,65.122,16.464,5.922
50,27,32.25,202,101.08,45.924,29.492,0,35.052,4.585,0,5.64,120.69,172.1,1,0,75.416,39.637,5.64
65,27,32.25,202,111.52,35.518,44.238,0,84.455,11.76,3.243,7.05,186.26,255.1,1,0,79.756,96.215,10.293
80,27,32.25,202,72.816,17.286,63.327,0,100.2,23.835,3.525,13.677,221.85,296,1,0,80.613,124.04,17.202
100,27,32.25,202,48.84,9.546,49.288,0,67.183,15.75,0,11.28,153.05,213.8,1,0,58.834,82.933,11.28
125,27,32.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,27,32.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,27,32.25,202,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,-9999,0
0,28,32.5,202,32.634,29.154,7.676,0,11.557,1.505,0,3.948,53.84,62.7,0.77742,0.22258,39.402,10.49,3.948
20,28,32.5,202,33.004,36.12,11.11,0,12.827,1.47,0,6.909,68.436,68.1,0.84546,0.15454,49.212,12.315,6.909
35,28,32.5,202,37.148,21.07,11.009,0,7.493,1.015,0,2.82,43.407,59.2,0.73332,0.26668,34.077,6.5098,2.82
50,28,32.5,202,80.956,43.516,35.148,0,26.162,3.255,0,5.781,113.86,130.6,1,0,78.664,29.417,5.781
65,28,32.5,202,114.48,28.208,77.77,0,83.312,11.62,0,8.883,209.79,268.7,1,0,105.98,94.932,8.883
80,28,32.5,202,86.95,17.458,88.779,0,83.185,12.67,2.538,10.011,214.64,258.3,1,0,106.24,95.855,12.549
100,28,32.5,202,70.892,14.362,83.527,0,71.247,13.37,0,8.883,191.39,185.9,1,0,97.889,84.617,8.883
125,28,32.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,28,32.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,28,32.5,202,2.664,0,11.817,0,0,0,0,0,11.817,3.6,0.03276,0.96724,11.817,0,0
0,29,32.75,202,49.728,39.99,18.887,0,14.605,2.345,0,5.217,81.044,111,1,0,58.877,16.95,5.217
20,29,32.75,202,43.734,32.938,19.594,0,11.049,2.275,0,5.781,71.637,108.4,1,0,52.532,13.324,5.781
35,29,32.75,202,56.462,50.74,19.998,0,25.019,5.32,0,15.228,116.31,143.5,1,0,70.738,30.339,15.228
50,29,32.75,202,96.57,39.302,48.076,0,33.147,6.195,0,9.588,136.31,200.4,1,0,87.378,39.342,9.588
65,29,32.75,202,153.18,43.946,83.325,0,75.692,13.93,0,10.293,227.19,324.7,1,0,127.27,89.622,10.293
80,29,32.75,202,136.01,29.928,87.769,0,80.899,13.475,0,9.306,221.38,300.3,1,0,117.7,94.374,9.306
100,29,32.75,202,31.45,6.45,42.117,0,49.149,11.655,0,6.486,115.86,161.7,1,0,48.567,60.804,6.486
125,29,32.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,29,32.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,29,32.75,202,3.034,0,8.484,0,0,0,0,0,8.484,4.1,0.03906,0.96094,8.484,0,0
0,30,33,202,77.848,43.86,23.028,0,17.399,1.645,0,4.371,90.303,121.2,1,0,66.888,19.044,4.371
20,30,33,202,62.826,37.668,24.846,0,29.972,5.46,0,12.549,110.5,160.6,1,0,62.514,35.432,12.549
35,30,33,202,97.68,39.904,30.098,0,21.082,2.94,0,6.627,100.65,155.5,1,0,70.002,24.022,6.627
50,30,33,202,138.01,57.878,73.528,0,80.391,15.12,0,13.113,240.03,291.2,1,0,131.41,95.511,13.113
65,30,33,202,94.202,20.984,82.517,0,116.59,22.785,4.089,13.536,260.5,306.1,1,0,103.5,139.37,17.625
80,30,33,202,49.136,7.912,46.157,0,61.976,11.2,0,8.178,135.42,174.9,1,0,54.069,73.176,8.178
100,30,33,202,33.374,3.956,43.43,0,38.608,5.215,0,4.23,95.439,95.4,1,0,47.386,43.823,4.23
125,30,33,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,30,33,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,30,33,202,2.96,0,5.656,0,0,0,0,0,5.656,4,0.0378,0.9622,5.656,0,0
0,31,33.25,202,59.052,30.1,10.504,0,19.558,1.89,0,2.82,64.872,121,1,0,40.604,21.448,2.82
20,31,33.25,202,70.078,41.882,15.655,0,20.701,2.17,0,3.807,84.215,130.5,1,0,57.537,22.871,3.807
35,31,33.25,202,76.886,39.388,22.119,0,28.321,2.835,0,5.64,98.303,148.2,1,0,61.507,31.156,5.64
50,31,33.25,202,112.85,30.358,41.309,0,44.577,5.355,0,4.794,126.39,212.9,1,0,71.667,49.932,4.794
65,31,33.25,202,123.21,31.476,83.426,0,117.98,17.43,4.512,10.293,265.12,348.4,1,0,114.9,135.41,14.805
80,31,33.25,202,70.152,13.244,60.701,0,90.17,14.595,0,9.024,187.73,269.4,1,0,73.945,104.77,9.024
100,31,33.25,202,37.888,7.31,49.591,0,41.148,7.28,0,5.64,110.97,135.2,1,0,56.901,48.428,5.64
125,31,33.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,31,33.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,31,33.25,202,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,-9999,0
0,32,33.5,202,82.954,57.19,19.392,0,28.194,2.835,0,6.486,114.1,155.2,1,0,76.582,31.029,6.486
20,32,33.5,202,85.618,68.112,23.634,0,27.051,2.275,0,4.512,125.58,151.5,1,0,91.746,29.326,4.512
35,32,33.5,202,102.64,62.78,34.845,0,41.402,4.2,0,8.178,151.41,193.1,1,0,97.625,45.602,8.178
50,32,33.5,202,183.3,64.758,76.76,0,97.409,12.425,4.371,18.33,274.05,368.4,1,0,141.52,109.83,22.701
65,32,33.5,202,135.05,40.936,87.567,0,114.43,16.24,6.627,26.226,292.02,364.6,1,0,128.5,130.67,32.853
80,32,33.5,202,84.064,26.832,66.66,0,97.79,15.015,3.102,24.534,233.93,291.3,1,0,93.492,112.81,27.636
100,32,33.5,202,51.208,14.534,49.995,0,60.833,9.555,0,15.369,150.29,192,1,0,64.529,70.388,15.369
125,32,33.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,32,33.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,32,33.5,202,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,-9999,0
0,33,33.75,202,56.388,30.96,9.09,0,18.034,1.54,0,2.82,62.444,106.1,1,0,40.05,19.574,2.82
20,33,33.75,202,79.994,57.362,24.644,0,24.638,3.29,0,4.653,114.59,153.4,1,0,82.006,27.928,4.653
35,33,33.75,202,99.826,50.052,38.784,0,49.403,6.58,0,6.204,151.02,208.2,1,0,88.836,55.983,6.204
50,33,33.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
65,33,33.75,202,211.71,62.78,91.809,0,109.6,13.615,3.384,12.408,293.6,398.5,1,0,154.59,123.22,15.792
80,33,33.75,202,94.942,26.918,69.589,0,95.885,14.7,0,11.562,218.65,282.1,1,0,96.507,110.59,11.562
100,33,33.75,202,48.174,10.75,32.825,0,48.895,7.315,0,7.473,107.26,152.5,1,0,43.575,56.21,7.473
125,33,33.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,33,33.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,33,33.75,202,0,1.806,0,0,0,0,0,0,1.806,4.4,0.04284,0.95716,1.806,0,0
0,34,34,202,55.13,40.334,15.554,0,34.163,4.445,0,6.768,101.26,136.3,1,0,55.888,38.608,6.768
20,34,34,202,95.83,103.03,33.027,0,59.69,7.14,0,14.946,217.83,225.7,1,0,136.06,66.83,14.946
35,34,34,202,140.82,91.16,61.61,0,122.05,15.26,3.102,27.495,320.67,376.6,1,0,152.77,137.31,30.597
50,34,34,202,114.63,42.398,82.315,0,188.85,24.325,10.857,42.582,391.33,439.8,1,0,124.71,213.17,53.439
65,34,34,202,112.48,32.766,82.82,0,137.54,20.51,5.217,33.558,312.41,387.4,1,0,115.59,158.05,38.775
80,34,34,202,42.106,9.632,41.511,0,54.991,7.21,0,13.113,126.46,176.4,1,0,51.143,62.201,13.113
100,34,34,202,22.57,6.708,31.916,0,56.515,8.715,0,15.087,118.94,153.5,1,0,38.624,65.23,15.087
125,34,34,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,34,34,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,34,34,202,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,-9999,0
0,35,34.25,202,85.544,37.754,31.411,0,36.576,4.095,0,4.23,114.07,145.5,1,0,69.165,40.671,4.23
20,35,34.25,202,119.14,89.096,46.258,0,52.324,7.665,0,10.293,205.64,206.3,1,0,135.35,59.989,10.293
35,35,34.25,202,122.4,58.91,70.7,0,140.08,20.265,0,21.15,311.11,332,1,0,129.61,160.35,21.15
50,35,34.25,202,138.53,46.182,86.557,0,264.41,37.065,13.395,29.469,477.08,498.7,1,0,132.74,301.48,42.864
65,35,34.25,202,97.606,16.426,85.244,0,278.38,40.145,12.69,36.519,469.41,499.1,1,0,101.67,318.53,49.209
80,35,34.25,202,41.736,4.214,68.781,0,91.059,12.075,0,17.061,193.19,226.6,1,0,72.995,103.13,17.061
100,35,34.25,202,24.346,2.924,52.419,0,66.675,9.135,0,13.254,144.41,164.6,1,0,55.343,75.81,13.254
125,35,34.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,35,34.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,35,34.25,202,7.03,0,19.796,0,0,0,0,0,19.796,9.5,0.1071,0.8929,19.796,0,0
0,36,34.5,202,61.642,53.836,21.816,0,94.361,12.53,0,22.137,204.68,237.6,1,0,75.652,106.89,22.137
20,36,34.5,202,38.184,38.614,23.23,1.08,197.36,20.3,3.102,43.851,327.54,361.6,1,0,61.844,218.74,46.953
35,36,34.5,202,48.174,26.23,37.976,0,291.47,35.735,6.909,55.977,454.29,472.5,1,0,64.206,327.2,62.886
50,36,34.5,202,42.106,11.954,75.144,0,175.64,18.445,16.92,32.712,330.82,386,1,0,87.098,194.09,49.632
65,36,34.5,202,32.93,11.008,62.317,0,132.72,16.205,7.05,28.482,257.78,289.6,1,0,73.325,148.92,35.532
80,36,34.5,202,31.45,12.814,55.146,0,107.7,13.58,5.076,25.38,219.69,253,1,0,67.96,121.28,30.456
100,36,34.5,202,15.688,8.428,34.239,0.66,60.198,6.93,0,15.51,125.97,148.5,1,0,42.667,67.788,15.51
125,36,34.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,36,34.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,36,34.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,37,34.75,202,79.55,54.524,24.947,0,97.917,12.075,0,14.1,203.56,232.8,1,0,79.471,109.99,14.1
20,37,34.75,202,135.94,67.166,71.104,0,172.59,19.985,0,18.048,348.9,414.4,1,0,138.27,192.58,18.048
35,37,34.75,202,91.686,29.756,78.679,0,205.49,31.395,11.139,25.803,382.26,404.4,1,0,108.44,236.88,36.942
50,37,34.75,202,93.166,21.07,78.073,0,272.42,31.255,14.241,27.918,444.97,513.6,1,0,99.143,303.67,42.159
65,37,34.75,202,92.426,23.392,86.961,0,321.56,38.85,21.714,33.699,526.18,541.2,1,0,110.35,360.41,55.413
80,37,34.75,202,76.516,22.102,95.546,0,226.82,28.7,20.868,31.02,425.06,431,1,0,117.65,255.52,51.888
100,37,34.75,202,49.21,11.868,73.831,0,121.28,15.645,9.024,14.805,246.46,283,1,0,85.699,136.93,23.829
125,37,34.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,37,34.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,37,34.75,202,10.36,0,15.554,0,5.969,0,0,0,21.523,14,0.1638,0.8362,20.545,0.97772,0
0,38,35,202,31.82,16.426,19.796,0,165.35,21.77,0,24.816,248.16,299.8,1,0,36.222,187.12,24.816
20,38,35,202,53.132,28.294,34.845,0,225.93,24.185,0,24.675,337.93,410.5,1,0,63.139,250.12,24.675
35,38,35,202,90.058,47.128,64.539,0,447.42,42.84,14.382,40.326,656.64,675.1,1,0,111.67,490.26,54.708
50,38,35,202,75.702,19.866,89.991,0,330.45,32.305,33.417,32.712,538.75,605.5,1,0,109.86,362.76,66.129
65,38,35,202,67.932,16.77,83.931,0,220.34,26.81,12.267,31.302,391.42,414.6,1,0,100.7,247.16,43.569
80,38,35,202,37.074,13.588,64.741,0,150.5,18.48,7.755,23.124,278.18,291.8,1,0,78.329,168.97,30.879
100,38,35,202,21.83,8.858,39.996,0,80.518,10.99,0,15.51,155.87,170.1,1,0,48.854,91.508,15.51
125,38,35,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,38,35,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,38,35,202,6.956,0,14.544,0,6.731,0.77,0,0,22.045,17.4,0.20664,0.79336,19.884,2.1609,0
0,43,35.25,202,93.388,65.876,54.944,0,126.11,18.025,4.935,22.701,292.59,328.6,1,0,120.82,144.14,27.636
20,43,35.25,202,103.45,63.038,53.126,0,106.3,14.98,3.102,19.881,260.43,317.5,1,0,116.16,121.28,22.983
35,43,35.25,202,117.14,77.4,63.226,0,153.16,22.05,6.627,28.341,350.81,373,1,0,140.63,175.21,34.968
50,43,35.25,202,121.73,61.576,70.094,0,180.34,25.865,6.204,31.02,375.1,421.3,1,0,131.67,206.21,37.224
65,43,35.25,202,127.21,68.112,67.468,0,187.71,27.965,6.627,33.135,391.01,435.3,1,0,135.58,215.67,39.762
80,43,35.25,202,96.274,50.74,58.479,0,165.35,23.975,5.499,26.649,330.7,372.8,1,0,109.22,189.33,32.148
100,43,35.25,202,14.948,6.536,54.439,0,76.581,13.93,0,14.523,166.01,179.9,1,0,60.975,90.511,14.523
125,43,35.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,43,35.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,43,35.25,202,5.92,0,7.676,0,0,0,0,0,7.676,8,0.0882,0.9118,7.676,0,0
0,42,35.5,202,110.78,53.578,56.055,0,116.84,14.35,3.525,17.343,261.69,343.5,1,0,109.63,131.19,20.868
20,42,35.5,202,123.88,86.774,67.367,0,169.04,24.465,4.935,33.276,385.85,408.6,1,0,154.14,193.5,38.211
35,42,35.5,202,122.25,80.496,61.711,0,174.88,22.47,4.794,31.866,376.22,395.6,1,0,142.21,197.35,36.66
50,42,35.5,202,134.83,47.128,94.738,0,195.71,31.185,8.319,24.816,401.89,418,1,0,141.87,226.89,33.135
65,42,35.5,202,100.49,28.036,95.445,0,179.83,35.35,4.23,27.636,370.53,388.5,1,0,123.48,215.18,31.866
80,42,35.5,202,26.492,3.612,42.521,0,67.564,16.38,4.089,12.972,147.14,197.5,1,0,46.133,83.944,17.061
100,42,35.5,202,17.686,3.182,26.058,0,45.847,11.585,0,10.293,96.965,117,1,0,29.24,57.432,10.293
125,42,35.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,42,35.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,42,35.5,202,4.588,0,9.696,0,0,0,0,0,9.696,7.8,0.08568,0.91432,9.696,0,0
0,41,35.75,202,107.97,65.79,46.46,0,223.39,27.93,7.755,28.764,400.09,450.8,1,0,112.25,251.32,36.519
20,41,35.75,202,109.52,50.224,49.692,0,201.68,23.8,6.063,25.803,357.26,442.9,1,0,99.916,225.48,31.866
35,41,35.75,202,96.94,43.774,49.288,0,185.17,19.985,6.768,22.842,327.82,412.4,1,0,93.062,205.15,29.61
50,41,35.75,202,103.6,47.128,65.65,0,209.55,28.77,9.729,26.79,387.62,425.1,1,0,112.78,238.32,36.519
65,41,35.75,202,50.912,12.212,61.509,0,144.65,31.15,7.614,22.56,279.7,318,1,0,73.721,175.8,30.174
80,41,35.75,202,15.984,4.214,28.785,0,55.753,14.525,2.115,13.113,118.5,147.3,1,0,32.999,70.278,15.228
100,41,35.75,202,17.242,3.44,33.532,0,27.305,4.935,0,4.794,74.006,67.3,0.83538,0.16462,41.467,27.745,4.794
125,41,35.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,41,35.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,41,35.75,202,2.146,0,0,0,0,0,0,0,0,6.1,0.06426,0.93574,0,0,0
0,40,36,202,14.578,3.612,39.592,0,92.71,12.53,4.23,15.933,168.61,190.2,1,0,43.204,105.24,20.163
20,40,36,202,62.308,43.602,35.653,0,105.03,19.495,0,26.226,230,274.4,1,0,79.255,124.52,26.226
35,40,36,202,45.658,29.842,34.239,0,82.169,18.305,0,22.419,186.97,219.8,1,0,64.081,100.47,22.419
50,40,36,202,36.334,8.428,69.69,0,87.757,17.71,10.998,16.497,211.08,248.9,1,0,78.118,105.47,27.495
65,40,36,202,50.838,42.656,33.633,0,104.65,20.37,0,26.649,227.96,267.4,1,0,76.289,125.02,26.649
80,40,36,202,13.246,1.634,26.664,0,33.02,4.34,0,8.742,74.4,78.2,0.97272,0.02728,29.199,36.459,8.742
100,40,36,202,4.588,1.118,16.766,0,10.287,1.505,0,2.679,32.355,32.8,0.40068,0.59932,24.049,5.6268,2.679
125,40,36,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,40,36,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,40,36,202,4.514,0,9.797,0,0,0,0,0,9.797,8,0.0882,0.9118,9.797,0,0
