depth (m),station (#),latitude (deg N),longitude (deg W),chlorophyllide a (ng/l),chlorophyll c (ng/l),peridinin (ng/l),19-butanoyloxyfucoxanthin (ng/l),fucoxanthin (ng/l),19-hexanoyloxyfucoxanthin (ng/l),prasinoxanthin (ng/l),violaxanthin (ng/l),diadinoxanthin (ng/l),alloxanthin (ng/l),diatoxanthin (ng/l),lutein (ng/l),zeaxanthin (ng/l),chlorophyll b (ng/l),alpha carotene (ng/l),beta carotene (ng/l),divinyl chlorophyll a (ng/l),monovinyl chlorophyll a (ng/l),total chlorophyll a (ng/l)
80,20,30.5,202,0,0,0,2.1,0,10.5,-9999,0,0,0,0,0,29.7,17.5,5.2,1.3,41.9,27.5,69.4
100,20,30.5,202,0,38.1,2.7,27.6,9,58.3,-9999,0,3.9,0,0,0,26.8,57.2,10.8,1.7,92.1,115.8,207.8
125,20,30.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,20,30.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,20,30.5,202,0,0,0,0,0,2.8,-9999,0,0,0,0,0,0,0,0,0,0,0,0
0,21,30.75,202,0,0,0,0,1.6,5.3,-9999,0,0,0,0,0,17.6,0,1.6,1.1,25,23.9,48.9
20,21,30.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
35,21,30.75,202,0,0,0,0,6.4,5.1,-9999,0,0,0,0,0,22.8,0,1.3,0,32,27.8,59.8
50,21,30.75,202,0,0,0,0,0,4.6,-9999,0,0,0,0,0,24.7,0,1.7,0.5,28.3,22,50.2
65,21,30.75,202,0,0,0,2.4,2.8,10.5,-9999,0,1.2,0,0,0,23.4,5.8,2.2,0.6,37.1,21.5,58.6
80,21,30.75,202,0,0,0,2.2,0,12.2,-9999,0,0,0,0,0,24.6,14,4.3,0.7,63.6,28.3,91.9
100,21,30.75,202,0,15.6,0,22.8,3.6,51.2,-9999,0,2.9,0,0,0,20.1,42.1,7.5,1.4,82.7,93.2,175.9
125,21,30.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,21,30.75,202,0,0,0,6.1,0,16.7,-9999,0,0,0,0,0,2.9,33.6,5.6,0.6,28.4,30.5,59
200,21,30.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,22,31,202,0,0,0,0,2.2,3.9,-9999,0,0,0,0,0,19.7,5.8,1.1,0,38.6,13,51.7
20,22,31,202,0,0,0,0,3.3,3.7,-9999,0,0,0,0,0,24.7,10.3,1.4,0.8,36,10.8,46.8
35,22,31,202,0,1.4,0,2.2,4.2,5.3,-9999,0,2.1,0,0,0,29.1,15.5,1.4,0.6,36.3,17.4,53.7
50,22,31,202,0,0,0,2.4,1.7,6.8,-9999,0,1.4,0,0,0,30.5,8.1,1.5,0.5,33.5,15.1,48.6
65,22,31,202,0,0,2,2.1,0,7.7,-9999,0,1.2,0,0,0,22.9,9.6,2.2,0.7,43.4,15.4,58.8
80,22,31,202,0,0,0,9.3,0,0,-9999,0,0,0,0,0,19.3,19.1,1.4,0,45,23.6,68.6
100,22,31,202,0,4.9,0,4.4,2.1,17.1,-9999,0,2.2,0,0,0,22.5,23.1,4.7,0.6,85,21.4,106.3
125,22,31,202,0,46.3,3.4,37.4,8.6,67.5,-9999,0,4.9,0,0,0,18.3,88.5,15.1,1.9,120.7,125.2,245.9
150,22,31,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,22,31,202,0,0,0,0,0,0,-9999,0,0,0,0,0,0,9.2,0,0,7.6,0,7.6
0,23,31.25,202,0,0,0,0,0,3.7,-9999,0,1.7,0,0,0,22.3,0,1,0,22.9,16.4,39.3
20,23,31.25,202,0,0,0,0,2.1,3.3,-9999,0,0,0,0,0,24.8,0,0,0,18.1,23.5,41.6
35,23,31.25,202,0,0,0,2.1,2.5,6.3,-9999,0,1.6,0,0,0,34.4,2.2,1.5,1.1,22.8,27,49.7
50,23,31.25,202,0,0,0,2.4,2.3,9,-9999,0,0,0,0,0,29.2,7,2.5,1.1,34.9,30.5,65.4
65,23,31.25,202,0,2.7,0,3,1.6,11.2,-9999,0,0,0,0,0,19.6,9.3,2.1,0.8,40.2,30.7,70.9
80,23,31.25,202,0,5.7,0,5.7,1.3,18.6,-9999,0,1.5,0,0,0,23.2,22.4,5.3,1.2,77,30.7,107.7
100,23,31.25,202,0,38.4,2.5,67.1,10,100.8,-9999,0,5.9,0,0,0,36.9,115.4,21,2.9,186.4,136,322.4
125,23,31.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,23,31.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,23,31.25,202,0,0,0,0,0,3,-9999,0,0,0,0,0,1.9,0,0,0,1.4,5.7,7
0,24,31.5,202,0,0,0,0,1.7,3,-9999,0,0,0,0,0,18.8,4.1,0.8,0.8,20.1,14.2,34.2
20,24,31.5,202,0,0,0,1.9,1.1,4.4,-9999,0,0,0,0,0,21.7,6.3,0.8,0.7,18.3,15.2,33.6
35,24,31.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50,24,31.5,202,0,6.9,0,5.9,3.8,13.7,-9999,0,2.4,0,0,0,34.2,11.3,3.2,1.9,31.2,38.7,70
65,24,31.5,202,0,7.3,0,4,2.1,14.4,-9999,0,1.5,0,0,0,31.8,19.5,5.7,1.6,62.1,32.3,94.4
80,24,31.5,202,0,8.5,0,5.4,2.7,17.3,-9999,0,1.6,0,0,0,37.8,24.9,8.9,1.5,87.1,29.3,116.4
100,24,31.5,202,0,10.6,0,9.3,3.8,23.6,-9999,0,1.9,0,0,1.2,32,43.3,8.8,1.6,90.1,44.6,134.7
125,24,31.5,202,0,25,0,25.4,8.4,46.8,-9999,0,3.4,0,0,1.3,21.6,115.3,20.9,2.4,151.9,91.3,243.2
150,24,31.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,24,31.5,202,0,0,0,2.2,0,4.9,-9999,0,0,0,0,0,0,10.4,1.1,0,4.3,12.7,17.1
0,25,31.75,202,0,0,0,1.7,1.9,5.4,-9999,0,0,0,0,0,27.9,0,1.3,0.9,26.5,23.3,49.9
20,25,31.75,202,0,0,0,2.3,1.6,4.7,-9999,0,0,0,0,0,37.6,0,2.2,1.3,26.5,24.1,50.7
35,25,31.75,202,0,0,0,1.8,1.8,6.2,-9999,0,0,0,0,0,29.4,6.7,1.4,0.8,25.3,28,53.3
50,25,31.75,202,0,0,0,1.3,0,7.4,-9999,0,2,0,0,0,29.8,5.8,2.6,1.3,39.4,25.7,65.1
65,25,31.75,202,0,2.7,0,4,3.5,13.4,-9999,0,1.7,0,0,0,34,12.7,3.3,1.2,49.1,42.1,91.2
80,25,31.75,202,0,4.2,0,4.4,2.4,19.2,-9999,0,2,0,0,0,42.9,19.3,8.1,2.2,109,35.7,144.7
100,25,31.75,202,0,19.9,0,23,3.9,49.5,-9999,0,3.3,0,0,0,37.9,78.3,17.1,2.9,201.9,69.7,271.6
125,25,31.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,25,31.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,25,31.75,202,0,0,0,0,0,2.4,-9999,0,0,0,0,0,1.9,0,0,0,2.1,7,9.1
0,26,32,202,0,0,0,2.6,0,6.7,-9999,0,0,0,0,0,30.1,9.8,2,1,51.7,1,52.7
20,26,32,202,0,0,0,2.6,2.1,5.1,-9999,0,1.5,0,0,0,29.9,9.9,2.7,1.4,35.7,14.8,50.5
35,26,32,202,0,1.3,0,4.8,3.7,8.8,-9999,0,2,0,0,0,26.9,12,2,1,28.6,33.1,61.6
50,26,32,202,0,11.1,0,7.6,5.1,16,-9999,0,3,0,0,0,43.9,25.1,7.9,1.8,88.1,28.2,116.3
65,26,32,202,0,11.9,0,11.1,4,19.7,-9999,0,2.3,0,0,1.5,36.6,35.6,9.4,1.8,110.7,36.6,147.3
80,26,32,202,0,42.8,0,37.5,4.2,56.5,-9999,0,4.4,0,0,0,32.4,70.9,12.9,1.9,138.5,102.4,240.8
100,26,32,202,0,54.1,0,51.5,8.3,76.7,-9999,0,7.3,0,0,0,17.9,88.3,12,2.6,124.4,180.3,304.7
125,26,32,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,26,32,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,26,32,202,0,0,0,2.8,0,4.2,-9999,0,0,0,0,0,1.5,12.6,0.6,0,11.7,9.7,21.5
0,27,32.25,202,0,0,0,4.1,2.3,10.6,-9999,0,2.7,0,0,0,49.8,0,4.6,2,60,39.1,99
20,27,32.25,202,0,0,0,7.7,4.9,10.7,-9999,0,3.5,0,0,0,51.9,8.8,4.5,2,55.4,35.2,90.6
35,27,32.25,202,0,0,0,6.4,4.2,11.2,-9999,0,0,0,0,0,52,20.2,5.8,1.9,94.4,28.5,122.8
50,27,32.25,202,0,11.3,0,13.1,4,27.6,-9999,0,2.5,0,0,0,53.4,29.2,9.5,2.7,136.6,35.5,172.1
65,27,32.25,202,0,32.3,2.3,33.6,5,66.5,-9999,0,4.1,0,0,0,41.3,43.8,9.7,2.6,150.7,104.5,255.1
80,27,32.25,202,0,35.7,2.5,68.1,9.7,78.9,-9999,0,6.5,0,0,0,20.1,62.7,7.3,2.9,98.4,197.6,296
100,27,32.25,202,0,28.5,0,45,8,52.9,-9999,0,5.2,0,0,0,11.1,48.8,5.7,2.8,66,147.8,213.8
125,27,32.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,27,32.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,27,32.25,202,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0
0,28,32.5,202,0,0,0,4.3,2.8,9.1,-9999,0,3.1,0,0,0,33.9,7.6,2.8,1.5,44.1,18.5,62.7
20,28,32.5,202,0,0,0,4.2,4.9,10.1,-9999,0,2.7,0,0,0,42,11,2.8,0.9,44.6,23.4,68.1
35,28,32.5,202,0,0,0,2.9,2,5.9,-9999,0,1.3,0,0,0,24.5,10.9,2.4,1.2,50.2,9,59.2
50,28,32.5,202,0,5.3,0,9.3,4.1,20.6,-9999,0,3.8,0,0,0,50.6,34.8,7.9,1.5,109.4,21.2,130.6
65,28,32.5,202,0,31.5,0,33.2,6.3,65.6,-9999,0,5.3,0,0,0,32.8,77,14.1,2.6,154.7,113.9,268.7
80,28,32.5,202,0,30,1.8,36.2,7.1,65.5,-9999,2,5.7,0,0,0,20.3,87.9,13.4,2.1,117.5,140.8,258.3
100,28,32.5,202,0,27.6,0,38.2,6.3,56.1,-9999,0,4.5,0,0,0,16.7,82.7,15.8,1.3,95.8,90,185.9
125,28,32.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,28,32.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,28,32.5,202,0,0,0,0,0,0,-9999,0,0,0,0,0,0,11.7,0,0,3.6,0,3.6
0,29,32.75,202,0,3.6,0,6.7,3.7,11.5,-9999,0,3,0,0,0,46.5,18.7,5.8,2.8,67.2,43.8,111
20,29,32.75,202,0,0.8,0,6.5,4.1,8.7,-9999,0,3.1,0,0,0,38.3,19.4,4,2,59.1,49.3,108.4
35,29,32.75,202,0,18.1,0,15.2,10.8,19.7,-9999,3,6,0,0,0,59,19.8,8.4,3.8,76.3,67.1,143.5
50,29,32.75,202,0,20.1,0,17.7,6.8,26.1,-9999,0,3.4,0,0,0,45.7,47.6,10.9,3.2,130.5,70,200.4
65,29,32.75,202,0,34.8,0,39.8,7.3,59.6,-9999,2.4,5.1,0,0,0,51.1,82.5,18.4,4.1,207,117.7,324.7
80,29,32.75,202,0,33,0,38.5,6.6,63.7,-9999,1.9,4.1,0,0,0,34.8,86.9,17.4,3.4,183.8,116.4,300.3
100,29,32.75,202,0,22.3,0,33.3,4.6,38.7,-9999,0,3.8,0,0,0,7.5,41.7,5.5,1.9,42.5,119.1,161.7
125,29,32.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,29,32.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,29,32.75,202,0,0,0,0,0,0,-9999,0,0,0,0,0,0,8.4,0,0,4.1,0,4.1
0,30,33,202,0,5.9,0,4.7,3.1,13.7,-9999,0,3,0,0,0,51,22.8,6.1,1.8,105.2,16,121.2
20,30,33,202,0,12.5,0,15.6,8.9,23.6,-9999,1.5,4.8,0,0,0,43.8,24.6,5.9,2.8,84.9,75.7,160.6
35,30,33,202,0,9.8,0,8.4,4.7,16.6,-9999,0,1.9,0,0,0,46.4,29.8,9.1,3,132,23.5,155.5
50,30,33,202,15.9,28.5,0,43.2,9.3,63.3,-9999,2.8,6.7,0,0,0,67.3,72.8,17,3.5,186.5,104.8,291.2
65,30,33,202,0,39.4,2.9,65.1,9.6,91.8,-9999,2,8.3,0,0,0,24.4,81.7,10.8,3.9,127.3,178.7,306.1
80,30,33,202,0,16.2,0,32,5.8,48.8,-9999,0,3.9,0,0,0,9.2,45.7,5.9,1.8,66.4,108.5,174.9
100,30,33,202,0,8.5,0,14.9,3,30.4,-9999,0,2,0,0,0,4.6,43,7.6,0.9,45.1,50.3,95.4
125,30,33,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,30,33,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,30,33,202,0,0,0,0,0,0,-9999,0,0,0,0,0,0,5.6,0,0,4,0,4
0,31,33.25,202,0,4.5,0,5.4,2,15.4,-9999,0,2.9,0,0,0,35,10.4,4.5,1.8,79.8,41.2,121
20,31,33.25,202,0,4.8,0,6.2,2.7,16.3,-9999,0,2.9,0,0,0,48.7,15.5,6.2,1.8,94.7,35.8,130.5
35,31,33.25,202,0,6.5,0,8.1,4,22.3,-9999,0,3.1,0,0,0,45.8,21.9,7.4,1.8,103.9,44.3,148.2
50,31,33.25,202,0,10.9,0,15.3,3.4,35.1,-9999,0,3.5,0,0,0,35.3,40.9,9.4,1.8,152.5,60.4,212.9
65,31,33.25,202,0,29.5,3.2,49.8,7.3,92.9,-9999,0,5,0,0,0,36.6,82.6,13,3.6,166.5,182,348.4
80,31,33.25,202,0,33.5,0,41.7,6.4,71,-9999,0,5.2,0,0,0,15.4,60.1,7.6,2.3,94.8,174.6,269.4
100,31,33.25,202,0,10.6,0,20.8,4,32.4,-9999,0,3,0,0,0,8.5,49.1,6.9,1,51.2,84.1,135.2
125,31,33.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,31,33.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,31,33.25,202,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0
0,32,33.5,202,8.4,11,0,8.1,4.6,22.2,-9999,0,6,0,1.6,1.9,66.5,19.2,8.8,4.1,112.1,43.1,155.2
20,32,33.5,202,0,10.3,0,6.5,3.2,21.3,-9999,0,4,0,0.5,1.7,79.2,23.4,9,2.1,115.7,35.8,151.5
35,32,33.5,202,0,14.5,0,12,5.8,32.6,-9999,0,4.7,0,1.5,2.6,73,34.5,11,3,138.7,54.4,193.1
50,32,33.5,202,13.3,36.2,3.1,35.5,13,76.7,-9999,0,4.8,0,0.5,3,75.3,76,20.5,4.3,247.7,120.8,368.4
65,32,33.5,202,0,44.6,4.7,46.4,18.6,90.1,-9999,0,5.4,0,0,3.2,47.6,86.7,17.5,4.4,182.5,182.1,364.6
80,32,33.5,202,0,35.4,2.2,42.9,17.4,77,-9999,0,4.6,0,0,3.7,31.2,66,12.8,3.5,113.6,177.7,291.3
100,32,33.5,202,0,21.2,0,27.3,10.9,47.9,-9999,0,3.3,0,0,1.9,16.9,49.5,7,1.8,69.2,122.7,192
125,32,33.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,32,33.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,32,33.5,202,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0
0,33,33.75,202,0,0,0,4.4,2,14.2,-9999,0,2.9,0,0,0,36,9,3.8,1.6,76.2,29.9,106.1
20,33,33.75,202,0,4.2,0,9.4,3.3,19.4,-9999,0,3.8,0,0,0,66.7,24.4,7.9,2,108.1,45.3,153.4
35,33,33.75,202,0,14.4,0,18.8,4.4,38.9,-9999,0,4.8,0,0,0,58.2,38.4,10,3.1,134.9,73.3,208.2
50,33,33.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
65,33,33.75,202,0,39.7,2.4,38.9,8.8,86.3,-9999,0,4.8,0,0,0,73,90.9,21.3,6,286.1,112.5,398.5
80,33,33.75,202,0,39,0,42,8.2,75.5,-9999,0,4.6,0,0,0,31.3,68.9,11.6,2.8,128.3,153.9,282.1
100,33,33.75,202,0,12.8,0,20.9,5.3,38.5,-9999,0,3.1,0,0,0,12.5,32.5,4.9,1.8,65.1,87.5,152.5
125,33,33.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,33,33.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,33,33.75,202,0,0,0,0,0,0,-9999,0,0,0,0,0,2.1,0,0,0,0,4.4,4.4
0,34,34,202,0,7.2,0,12.7,4.8,26.9,-9999,0,7.9,0,2.7,2.7,46.9,15.4,4.8,2.9,74.5,61.7,136.3
20,34,34,202,12,14.4,0,20.4,10.6,47,-9999,2.2,17.7,0,4.1,4.7,119.8,32.7,11.2,5.6,129.5,96.2,225.7
35,34,34,202,22.7,36,2.2,43.6,19.5,96.1,-9999,2.9,12.4,0,1.9,5.1,106,61,16.2,6.1,190.3,186.3,376.6
50,34,34,202,21.8,72.3,7.7,69.5,30.2,148.7,-9999,3.2,9.4,0,0,3.5,49.3,81.5,15.4,5.6,154.9,285,439.8
65,34,34,202,27.3,48.3,3.7,58.6,23.8,108.3,-9999,0,6.9,0,0,3.7,38.1,82,14.6,4.6,152,235.4,387.4
80,34,34,202,0,18.2,0,20.6,9.3,43.3,-9999,0,3.3,0,0,1.3,11.2,41.1,5.5,2.2,56.9,119.5,176.4
100,34,34,202,0,21.2,0,24.9,10.7,44.5,-9999,0,3.3,0,0,0,7.8,31.6,2.7,1.7,30.5,123,153.5
125,34,34,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,34,34,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,34,34,202,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0
0,35,34.25,202,0,7.4,0,11.7,3,28.8,-9999,0,9.4,0,3.8,0,43.9,31.1,3.6,1.5,115.6,29.9,145.5
20,35,34.25,202,0,23.6,0,21.9,7.3,41.2,-9999,0,13,0,0,0,103.6,45.8,8.6,2.4,161,45.4,206.3
35,35,34.25,202,15.9,77,0,57.9,15,110.3,-9999,2.5,13.5,0,0,0,68.5,70,10.1,3.5,165.4,166.6,332
50,35,34.25,202,0,140.8,9.5,105.9,20.9,208.2,-9999,0,16.2,0,0,0,53.7,85.7,11.7,6,187.2,311.6,498.7
65,35,34.25,202,0,155.1,9,114.7,25.9,219.2,-9999,0,16,0,0,0,19.1,84.4,5,5.3,131.9,367.2,499.1
80,35,34.25,202,0,51.9,0,34.5,12.1,71.7,-9999,0,4.7,0,0,0,4.9,68.1,2.3,1.5,56.4,170.2,226.6
100,35,34.25,202,0,37.5,0,26.1,9.4,52.5,-9999,0,5.2,0,0,0,3.4,51.9,1.8,1.3,32.9,131.6,164.6
125,35,34.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,35,34.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,35,34.25,202,0,0,0,0,0,0,-9999,0,0,0,0,0,0,19.6,0,0,9.5,0,9.5
0,36,34.5,202,10.9,21.9,0,35.8,15.7,74.3,-9999,2.4,26.7,0,3.4,3.7,62.6,21.6,7.2,6.5,83.3,154.2,237.6
20,36,34.5,202,14.3,39.8,2.2,58,31.1,155.4,-9999,2.3,33.2,1.8,7.1,3.4,44.9,23,6.2,7.5,51.6,310,361.6
35,36,34.5,202,0,70.4,4.9,102.1,39.7,229.5,-9999,3.8,16.9,0,2.4,4.7,30.5,37.6,6.6,6.6,65.1,407.4,472.5
50,36,34.5,202,0,48,12,52.7,23.2,138.3,-9999,1.8,9.4,0,0.7,3.7,13.9,74.4,5.1,4.6,56.9,329.1,386
65,36,34.5,202,0,37,5,46.3,20.2,104.5,-9999,0,7.5,0,0.1,1.9,12.8,61.7,5.3,4.6,44.5,245.1,289.6
80,36,34.5,202,0,27.5,3.6,38.8,18,84.8,-9999,0,6.9,0,0.6,2.2,14.9,54.6,5.1,3.9,42.5,210.5,253
100,36,34.5,202,0,17.5,0,19.8,11,47.4,-9999,0,4.7,1.1,1.2,0,9.8,33.9,2.7,2.4,21.2,127.3,148.5
125,36,34.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,36,34.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,36,34.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,37,34.75,202,12.3,44.4,0,34.5,10,77.1,-9999,0,27.5,0,4.5,0,63.4,24.7,6,3.7,107.5,125.2,232.8
20,37,34.75,202,0,89.7,0,57.1,12.8,135.9,-9999,0,12.9,0,0,0,78.1,70.4,13.4,5.2,183.7,230.6,414.4
35,37,34.75,202,18.1,110.6,7.9,89.7,18.3,161.8,-9999,0,14.4,0,3.3,0,34.6,77.9,9.4,4.8,123.9,280.5,404.4
50,37,34.75,202,0,155.2,10.1,89.3,19.8,214.5,-9999,0,16.9,0,0,0,24.5,77.3,6.4,4.1,125.9,387.6,513.6
65,37,34.75,202,0,156.6,15.4,111,23.9,253.2,-9999,4.6,20.6,0,3.8,0,27.2,86.1,6.7,5.2,124.9,416.3,541.2
80,37,34.75,202,13.1,114.3,14.8,82,22,178.6,-9999,3.9,14.1,0,0,0,25.7,94.6,7.9,5.5,103.4,327.6,431
100,37,34.75,202,0,64.7,6.4,44.7,10.5,95.5,-9999,0,8.5,0,0,0,13.8,73.1,4.6,2.8,66.5,216.5,283
125,37,34.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,37,34.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,37,34.75,202,0,0,0,0,0,4.7,-9999,0,0,0,0,0,0,15.4,0,0,14,0,14
0,38,35,202,0,67,0,62.2,17.6,130.2,-9999,0,37.6,0,3.3,2,19.1,19.6,3.6,5.8,43,256.8,299.8
20,38,35,202,0,88.1,0,69.1,17.5,177.9,-9999,3.4,36.9,0,4.8,2.7,32.9,34.5,4.5,6.2,71.8,338.7,410.5
35,38,35,202,26.9,155.2,10.2,122.4,28.6,352.3,-9999,6.1,40.8,0,6.9,3.5,54.8,63.9,10.7,10.2,121.7,553.4,675.1
50,38,35,202,16.1,137.2,23.7,92.3,23.2,260.2,-9999,5,21,0,0,5,23.1,89.1,8.3,6.8,102.3,503.2,605.5
65,38,35,202,18.4,50.2,8.7,76.6,22.2,173.5,-9999,0,18.7,0,2.6,3.7,19.5,83.1,6.5,5.1,91.8,322.8,414.6
80,38,35,202,0,60.5,5.5,52.8,16.4,118.5,-9999,2.9,13.6,0,2,0,15.8,64.1,4.9,4.2,50.1,241.7,291.8
100,38,35,202,0,28.2,0,31.4,11,63.4,-9999,0,6.5,0,0,0,10.3,39.6,3.2,2.8,29.5,140.7,170.1
125,38,35,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,38,35,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,38,35,202,0,0,0,2.2,0,5.3,-9999,0,0,0,0,0,0,14.4,0,0,9.4,8,17.4
0,43,35.25,202,12.6,46.5,3.5,51.5,16.1,99.3,-9999,2.2,22.1,0,4.8,4.5,76.6,54.4,10.7,6.6,126.2,202.4,328.6
20,43,35.25,202,0,44,2.2,42.8,14.1,83.7,-9999,2,14.9,0,2.9,5.1,73.3,52.6,11,6.1,139.8,177.8,317.5
