depth (m),station (#),latitude (deg N),longitude (deg W),chlorophyllide a (ng/l),chlorophyll c (ng/l),peridinin (ng/l),19-butanoyloxyfucoxanthin (ng/l),fucoxanthin (ng/l),19-hexanoyloxyfucoxanthin (ng/l),prasinoxanthin (ng/l),violaxanthin (ng/l),diadinoxanthin (ng/l),alloxanthin (ng/l),diatoxanthin (ng/l),lutein (ng/l),zeaxanthin (ng/l),chlorophyll b (ng/l),alpha carotene (ng/l),beta carotene (ng/l),divinyl chlorophyll a (ng/l),monovinyl chlorophyll a (ng/l),total chlorophyll a (ng/l)
0,31,34.5,202,0,0,0,6.5,2.6,16.1,0,0,3.4,0,0,0,51.5,3.9,5.5,1.6,44.5,67.8,112.3
20,31,34.5,202,0,0,0,8.7,3.2,19.9,0,0,4.4,0,0,0,56.7,8.6,6.6,2,48.2,70.2,118.4
35,31,34.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50,31,34.5,202,0,0,0,11.7,4.8,29.3,0,0,3.7,0,0,0,52.5,13.7,8.6,1.6,59.1,96.1,155.3
65,31,34.5,202,0,0,0,18.2,6.8,41.9,0,0,4.9,0,1.1,0,42.7,20.9,9,1.8,68.4,119,187.4
80,31,34.5,202,0,11.9,0,28.7,10.5,59.3,0,0,4.7,0,1.3,0,39.1,33.9,11.2,2.3,80.1,152.7,232.7
100,31,34.5,202,0,22.7,0,46.9,17.1,95.2,0,0,6.8,0,2.7,0,25.3,43,11.1,2.3,63.1,222.8,285.8
125,31,34.5,202,0,4.9,0,31.8,10.6,38.9,0,0,2.9,0,0,0,14,94.8,16.8,1.2,56.2,123.4,179.6
175,31,34.5,202,0,0,0,5,1.5,15.6,0,0,0,0,0,0,0,16.9,4.3,0,8.4,40.1,48.5
0,33,35,202,0,6.9,0,21.2,8.9,60.2,0,0,13.7,0,2.1,0,65,15.8,6.4,3.4,55.8,158.7,214.4
20,33,35,202,0,13.4,3,20.8,9.7,63.3,0,0,14.9,0,2.2,0,75.7,19,7.9,4,52.2,177.8,230
35,33,35,202,0,11,2.8,17.9,9.7,57.4,0,0,8.9,0,2.3,0,69.1,20.1,7.6,3.2,55.3,175,230.3
50,33,35,202,0,22.7,2.9,36.7,16.9,96.9,0,0,13,0,3.8,0,81.1,30.6,11.7,4.4,75.3,233.9,309.1
65,33,35,202,0,80,4.4,90.7,40.4,203.8,0,0,14.8,0,6.7,0,67,73,18.7,6.4,132.7,395.4,528.1
80,33,35,202,0,18,0,32.7,13.9,59.4,0,0,3.7,0,1.9,0,17.6,48.6,9.8,1.6,39.2,167.6,206.8
100,33,35,202,0,16.3,0,24.9,8.5,52.2,0,0,3.4,0,1.7,0,14.8,125.8,24.7,1,61.5,133.9,195.5
125,33,35,202,0,0,0,8.2,2.5,29.8,0,0,1.9,0,0,0,1.4,27.8,5.9,0.8,11.8,62.5,74.3
175,33,35,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5
0,36,35.5,202,0,0,0,8.2,3.7,28.8,0,0,3.4,0,0.8,0,57.4,11.2,5.2,1.8,49.2,90.5,139.7
20,36,35.5,202,0,0,1.2,10.3,3.3,32.1,0,0,3.3,0,0,0,63.9,29.1,5.4,1.8,51.2,101.5,152.6
35,36,35.5,202,0,14.7,2.5,27.4,11.3,72,0,0,9.1,0,1.9,0,94.9,39.3,12.1,3.2,91.5,178.9,270.5
50,36,35.5,202,0,41.9,4.9,55.7,20.1,122,0,0,8.3,0,3.9,0,43.7,67.5,12.7,3,97.2,269.2,366.5
65,36,35.5,202,0,22.1,0,31.7,12,72,0,0,4,0,0,0,20,58.1,8.4,1.7,62.2,214.8,277
80,36,35.5,202,0,21.6,0,32.3,10.9,59.4,0,0,3.6,0,1.2,0,12.8,38.3,6.5,1.3,41.9,168.4,210.3
100,36,35.5,202,0,13.6,0,25.9,8.4,48.7,0,0,2.7,0,1.3,0,11.2,144.9,18.9,1.1,47.9,123,170.8
125,36,35.5,202,0,0,0,5.5,2,20.9,0,0,0.6,0,0,0,1,51.4,1.8,0,2.2,44.8,47
175,36,35.5,202,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2,0,0,0,0,0
0,34,36,202,0,4.1,0,14.5,7,36.4,0,0,6.5,0,0,0,46.2,12.2,5.4,2.2,38.9,113.8,152.7
20,34,36,202,0,8.7,1.9,15.5,8.1,43.6,0,0,7.3,0,1.8,0,78.1,18.4,8.9,2.8,61.3,143.7,205
35,34,36,202,0,12.2,2.8,22.2,11.4,58.1,0,0,9.6,0,2,0,87.8,27.7,11.6,3.3,79.9,167.6,247.5
50,34,36,202,0,24.6,3.6,35.9,15.4,83.8,0,0,7.9,0,2.8,0,75.9,71.5,18.5,3.6,133,213.7,346.7
65,34,36,202,0,47.4,3.2,54,24,124.5,0,0,7.9,0,4,0,53.4,91.5,21,3.7,148.4,270.7,419.1
80,34,36,202,0,24,0,38.9,16,77.5,0,0,5.1,0,2,0,16.5,39.7,8.7,1.9,48.7,205.3,254
100,34,36,202,0,3.7,0,16,6.9,26.7,0,0,2.4,0,0,0,8.2,42.3,8.3,1.4,31.2,106.7,137.9
125,34,36,202,0,0,0,8.9,2.3,27.3,0,0,1.5,0,0,0,2.9,49,10.3,0.7,22.1,65.4,87.5
175,34,36,202,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,4.7,4.7
