depth (m),station (#),latitude (N),longitude (W),prochlorococcus (mg/m3),prokaryotes (mg/m3),green algae (mg/m3),cryptophytes (mg/m3),prymesiophytes (mg/m3),pelagophytes (mg/m3),dinoflagellates (mg/m3),diatoms (mg/m3),SDP (mg/m3),Total C (mg/m3),Xn (mg/m3),Yp (mg/m3),picophytoplankton (mg/m3),nanophytoplankton (mg/m3),microphytoplankton (mg/m3)
65,42,34.25,202,33.818,19.35,87.163,0,268.35,35.735,13.254,80.934,504.79,560,1,0,106.51,304.09,94.188
80,42,34.25,202,16.798,14.448,66.155,0,218.44,28.42,10.716,57.246,395.42,459.5,1,0,80.603,246.86,67.962
100,42,34.25,202,8.806,8.686,26.967,0,87.122,10.255,4.23,27.918,165.18,186.3,1,0,35.653,97.377,32.148
125,42,34.25,202,0,0,5.454,0,12.065,2.1,0,2.256,21.875,28.7,0.34902,0.65098,13.308,6.3109,2.256
150,42,34.25,202,0,0,0,0,5.588,0.98,0,0,6.568,15.5,0.1827,0.8173,4.5671,2.0009,0
200,42,34.25,202,0,0,0,0,3.683,0.42,0,0,4.103,9.4,0.10584,0.89416,3.2932,0.80981,0
0,41,34.5,202,52.17,35.862,62.923,6.42,437.9,53.2,15.087,79.524,690.91,880.9,1,0,98.785,497.52,94.611
20,41,34.5,202,50.986,39.044,79.184,6.78,456.82,56.56,31.02,85.305,754.71,932.1,1,0,118.23,520.16,116.32
35,41,34.5,202,77.182,32.594,160.89,7.62,513.33,60.41,36.096,94.752,905.7,1045.3,1,0,193.49,581.36,130.85
50,41,34.5,202,49.728,18.662,98.778,3.96,270.51,36.155,14.946,71.487,514.5,578.8,1,0,117.44,310.62,86.433
65,41,34.5,202,36.704,14.018,73.225,2.76,189.36,24.08,8.178,56.823,368.44,416.3,1,0,87.243,216.2,65.001
80,41,34.5,202,23.014,12.298,47.47,2.16,141.6,17.185,4.794,43.287,268.8,313,1,0,59.768,160.95,48.081
100,41,34.5,202,2.442,3.268,8.181,0,30.48,4.55,0,14.382,60.861,77.5,0.9639,0.0361,12.549,33.93,14.382
125,41,34.5,202,0,0,4.949,0,8.636,1.645,0,1.551,16.781,24.1,0.29106,0.70894,11.071,4.1586,1.551
150,41,34.5,202,0,0,0,0,2.794,0.7,0,0,3.494,10.2,0.11592,0.88408,2.4701,1.0239,0
200,41,34.5,202,0,0,0,0,0,0,0,0,0,4.1,0.03906,0.96094,0,0,0
0,40,34.75,202,10.212,18.06,26.866,0,163.32,27.475,4.089,60.771,300.58,376.6,1,0,44.926,190.8,64.86
20,40,34.75,202,14.208,18.834,51.106,1.08,253.49,33.25,12.831,76.986,447.58,514.8,1,0,69.94,287.82,89.817
35,40,34.75,202,36.334,22.532,106.76,0.9,319.28,39.445,29.187,92.778,610.88,685.4,1,0,129.29,359.62,121.96
50,40,34.75,202,43.734,20.984,115.04,0,397.76,50.995,39.48,110.4,734.66,853.6,1,0,136.02,448.76,149.88
65,40,34.75,202,39.294,15.996,98.374,0.84,359.92,44.765,30.033,107.58,657.51,737,1,0,114.37,405.52,137.62
80,40,34.75,202,32.486,15.566,79.891,0,311.66,36.4,23.688,89.676,556.88,629.9,1,0,95.457,348.06,113.36
100,40,34.75,202,4.144,4.042,10.201,0,45.339,5.495,0,16.497,81.574,103.4,1,0,14.243,50.834,16.497
125,40,34.75,202,0,0,4.444,0,10.033,1.925,0,2.82,19.222,27.2,0.33012,0.66988,11.165,5.2371,2.82
150,40,34.75,202,0,0,2.121,0,5.588,1.085,0,0,8.794,17,0.2016,0.7984,6.5825,2.2115,0
200,40,34.75,202,0,0,0,0,0,0,0,0,0,4,0.0378,0.9622,0,0,0
0,39,35,202,46.102,34.314,68.781,5.1,345.95,44.765,10.152,62.322,571.38,730.6,1,0,103.09,395.81,72.474
20,39,35,202,38.258,30.014,73.831,5.52,384.68,47.74,19.74,82.203,643.73,801.5,1,0,103.84,437.94,101.94
35,39,35,202,9.324,10.062,28.785,2.04,149.48,19.32,5.076,31.02,245.78,295.8,1,0,38.847,170.84,36.096
50,39,35,202,25.678,15.996,52.823,3.12,198.25,26.425,5.922,51.183,353.72,418.6,1,0,68.819,227.79,57.105
65,39,35,202,17.39,12.814,45.046,2.58,171.83,22.54,3.666,46.953,305.43,368.3,1,0,57.86,196.95,50.619
80,39,35,202,10.434,9.202,22.927,1.38,105.66,13.51,2.397,30.315,185.39,225.2,1,0,32.129,120.55,32.712
100,39,35,202,0.888,2.236,10.201,0,20.193,3.675,0,8.037,44.342,59.9,0.74214,0.25786,17.644,18.661,8.037
125,39,35,202,0,0,5.151,0,7.874,1.855,0,2.679,17.559,26.6,0.32256,0.67744,10.485,4.3948,2.679
150,39,35,202,0,0,2.828,0,3.175,0.7,0,0,6.703,13.2,0.15372,0.84628,5.5149,1.1881,0
200,39,35,202,0,0,0,0,0,0,0,0,0,3.7,0.03402,0.96598,0,0,0
0,37,35.5,202,11.248,17.286,43.632,1.56,301.62,43.645,4.512,80.511,492.77,556.5,1,0,60.918,346.83,85.023
20,37,35.5,202,14.504,16.254,43.935,1.26,301.75,42.56,4.512,78.678,488.95,551,1,0,60.189,345.57,83.19
35,37,35.5,202,21.09,18.49,44.743,1.62,326.01,45.535,5.217,83.613,525.23,585.6,1,0,63.233,373.16,88.83
50,37,35.5,202,15.836,21.586,61.913,1.56,374.9,50.995,8.883,90.945,610.79,701.2,1,0,83.499,427.46,99.828
65,37,35.5,202,27.158,14.706,65.044,0,341.88,47.81,9.588,82.485,561.52,623.8,1,0,79.75,389.69,92.073
80,37,35.5,202,17.464,9.546,63.125,0,234.95,29.925,7.614,66.129,411.29,458.9,1,0,72.671,264.88,73.743
100,37,35.5,202,11.248,6.622,50.904,0,145.67,18.41,5.358,46.248,273.21,315.1,1,0,57.526,164.08,51.606
125,37,35.5,202,0,0,21.311,0,26.289,3.36,4.089,7.896,62.945,68.6,0.85176,0.14824,25.208,25.752,11.985
150,37,35.5,202,0,0,20.503,0,24.257,2.975,3.243,7.755,58.733,62.6,0.77616,0.22384,25.933,21.802,10.998
200,37,35.5,202,21.608,20.984,50.197,1.14,308.36,44.625,6.909,82.485,514.7,592.3,1,0,71.181,354.12,89.394
0,35,36,202,23.384,21.758,91.203,3.12,486.28,46.865,18.753,128.59,796.57,927.9,1,0,112.96,536.27,147.34
20,35,36,202,21.904,21.5,115.95,2.64,504.44,49.21,26.79,130.57,851.1,1018.9,1,0,137.45,556.29,157.36
30,35,36,202,21.238,16.512,146.05,1.62,488.95,50.645,32.571,140.44,876.78,979,1,0,162.56,541.22,173.01
50,35,36,202,25.086,13.33,121.6,1.56,398.78,43.26,28.482,125.35,732.37,866.4,1,0,134.93,443.6,153.83
65,35,36,202,21.238,13.76,123.72,1.98,383.16,43.19,34.827,114.49,715.13,832.2,1,0,137.48,428.33,149.32
80,35,36,202,19.092,16.598,125.75,1.98,367.41,41.055,28.905,108.29,689.98,809.6,1,0,142.34,410.45,137.19
100,35,36,202,19.166,14.018,99.687,1.8,333.12,33.705,21.15,92.919,596.4,709.7,1,0,113.7,368.63,114.07
125,35,36,202,0,0.946,13.029,0,14.097,1.89,3.525,5.922,39.409,45.6,0.56196,0.43804,20.15,9.812,9.447
150,35,36,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,35,36,202,0,0,0,0,0,0,0,0,0,9.8,0.11088,0.88912,0,0,0
