             VARIABLE : Chlorophyll-a Concentration (Milligrams per cubic meter)
                        regrid: 0.1 deg on Y@AVE
             DATA SET : MODIS Aqua - Weekly Ocean Color
             FILENAME : weekly
             FILEPATH : http://oceanwatch.pifsc.noaa.gov/thredds/dodsC/aqua/
             BAD FLAG : -3.4E+38      
             SUBSET   : 21 by 61 points (LONGITUDE-LATITUDE)
             TIME     : 15-MAR-2011 00:00 to 01-APR-2011 00:00 (averaged)
   158.5W ,158.45W,158.4W ,158.35W,158.3W ,158.25W,158.2W ,158.15W,158.1W ,158.05W,158W   ,157.95W,157.9W ,157.85W,157.8W ,157.75W,157.7W ,157.65W,157.6W ,157.55W,157.5W 
33.6N,0.1399,0.1312,0.1241,0.127,0.139,0.1451,0.1433,0.1382,0.1274,0.1236,0.125,0.1247,0.1269,0.1231,0.1216,0.1394,0.1424,0.1318,0.1303,0.1291,0.1297
33.7N,0.1611,0.1258,0.1258,0.1432,0.147,0.1334,0.1234,0.1189,0.1138,0.1173,0.1225,0.1134,0.1144,0.1058,0.1015,0.1204,0.1425,0.1413,0.1386,0.1341,0.1318
33.8N,0.23,0.202,0.1885,0.1806,0.1802,0.1297,0.1533,0.1653,0.1605,0.1462,0.1172,0.1098,0.1087,0.1008,0.1005,0.1031,0.1276,0.1268,0.1398,0.09042,0.08913
33.9N,0.2495,0.2299,0.2125,0.2031,0.2403,0.2348,0.2344,0.1885,0.1783,0.1728,0.1695,0.1059,0.1948,0.1926,0.1756,0.1749,0.172,0.1745,0.1724,0.1001,0.09934
34N,0.2405,0.2275,0.2262,0.2498,0.2503,0.2354,0.2779,0.2169,0.2319,0.1994,0.1952,0.1987,0.1985,0.1823,0.18,0.1773,0.1765,0.1783,0.1759,0.1039,0.1051
34.1N,0.1921,0.2116,0.213,0.2147,0.2115,0.1933,0.1789,0.3211,0.3039,0.2375,0.2182,0.207,0.2003,0.1979,0.1912,0.1908,0.1874,0.1848,0.1805,0.186,0.1225
34.2N,0.2901,0.3346,0.19,0.1951,0.1976,0.1512,0.1619,0.167,0.2456,0.2359,0.235,0.2109,0.1371,0.2025,0.2013,0.1119,0.1102,0.1908,0.1812,0.1111,0.1193
34.3N,0.2267,0.2034,0.2115,0.1971,0.1603,0.149,0.1516,0.1745,0.2767,0.2914,0.2929,0.2801,0.1718,0.2193,0.167,0.1597,0.1446,0.1329,0.1158,0.1092,0.1155
34.4N,0.2099,0.2254,0.254,0.2707,0.1967,0.1557,0.1566,0.2053,0.1768,0.1896,0.1891,0.2046,0.1601,0.1669,0.1908,0.17,0.1627,0.1212,0.1214,0.125,0.1242
34.5N,0.2838,0.2998,0.3023,0.2621,0.1963,0.1844,0.1826,0.1842,0.1784,0.1569,0.1672,0.1529,0.1169,0.1172,0.129,0.1264,0.1221,0.1216,0.1238,0.1238,0.1286
34.6N,0.3125,0.3262,0.3189,0.2406,0.2154,0.2011,0.1919,0.1674,0.1768,0.1567,0.1343,0.1271,0.1265,0.1239,0.1268,0.1251,0.1244,0.1216,0.1241,0.1263,0.1305
34.7N,0.2245,0.2172,0.2226,0.2164,0.2106,0.216,0.1763,0.1817,0.1842,0.1857,0.1418,0.1339,0.1264,0.1223,0.1411,0.14,0.1618,0.1331,0.122,0.1134,0.1165
34.8N,0.2182,0.2182,0.2174,0.1918,0.1723,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.1393,0.4627,0.4136,0.3468,0.2956,0.1524,0.1488,0.163,0.1427,0.145,0.1501,0.1585
34.9N,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.8282,0.842,1.091,0.9118,0.4403,0.3654,0.3603,0.1687,-3.4E+38,0.1359,0.1347,-3.4E+38,0.1251,0.1475,0.152
35N,-3.4E+38,-3.4E+38,-3.4E+38,0.4832,0.5402,0.6772,0.7866,1.04,0.9621,0.6182,0.3176,0.1544,-3.4E+38,0.284,0.291,0.2847,0.2881,-3.4E+38,0.1251,0.1251,0.1279
35.1N,-3.4E+38,0.4478,0.522,0.5002,0.5325,0.5688,0.5566,0.6168,0.593,0.4993,0.4736,-3.4E+38,-3.4E+38,0.2833,0.295,0.295,0.2812,0.2918,-3.4E+38,-3.4E+38,-3.4E+38
35.2N,0.4529,0.4619,0.5112,0.53,0.5614,0.5275,0.5533,0.5873,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.2839,0.1972,0.2542,-3.4E+38,0.254,0.2592,0.2828,-3.4E+38,-3.4E+38
35.3N,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.1385,0.1405,0.2153,0.2075,0.1732,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38
35.4N,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.1388,0.1366,0.1399,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38
35.5N,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.1393,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38
35.6N,0.3907,0.58,0.8259,-3.4E+38,1.435,1.169,1.244,1.393,1.664,1.094,1.094,0.3974,0.3288,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38
35.7N,0.58,0.5677,0.7335,0.6111,0.8293,0.8499,0.9064,1.069,1.642,1.412,1.253,0.6823,0.4441,0.3598,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38
35.8N,1.347,0.5244,0.5743,1.134,1.128,1.175,1.142,1.027,1.439,1.565,1.566,1.451,1.249,1.026,1.092,0.8572,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38
35.9N,1.4,1.104,0.9093,1.328,1.757,1.938,1.935,1.778,1.846,1.712,1.528,1.172,0.5923,0.6132,0.3706,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38
36N,0.9139,0.7288,0.7082,0.7919,1.281,1.357,1.45,1.338,1.553,1.804,1.424,0.7584,0.487,0.5274,0.5742,0.4681,0.3775,0.4123,0.2912,-3.4E+38,-3.4E+38
