             VARIABLE : Chlorophyll-a Concentration (Milligrams per cubic meter)
                        regrid: 0.1 deg on Y@AVE
             DATA SET : MODIS Aqua - Weekly Ocean Color
             FILENAME : weekly
             FILEPATH : http://oceanwatch.pifsc.noaa.gov/thredds/dodsC/aqua/
             BAD FLAG : -3.4E+38      
             SUBSET   : 21 by 61 points (LONGITUDE-LATITUDE)
             TIME     : 30-MAR-2008 00:00 to 15-APR-2008 00:00 (averaged)
   158.5W ,158.45W,158.4W ,158.35W,158.3W ,158.25W,158.2W ,158.15W,158.1W ,158.05W,158W   ,157.95W,157.9W ,157.85W,157.8W ,157.75W,157.7W ,157.65W,157.6W ,157.55W,157.5W 
33.5N,0.1332,0.1344,0.1351,0.1371,0.1305,0.1283,0.1297,0.1225,0.1175,0.1152,0.1156,0.1147,0.1253,0.1291,0.1346,0.1329,0.1314,0.1183,0.109,0.1004,0.1003
33.6N,0.1497,0.1505,0.1529,0.1502,0.1387,0.1337,0.1309,0.1245,0.121,0.119,0.1133,0.1098,0.1046,0.1182,0.1292,0.1266,0.1271,0.1086,0.1058,0.115,0.113
33.7N,0.1667,0.1692,0.1711,0.1706,0.1641,0.158,0.1598,0.1575,0.1193,0.1145,0.1092,0.1014,0.1018,0.116,0.1181,0.1152,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38
33.8N,0.169,0.1699,0.171,0.1682,0.168,0.1616,0.1564,0.1543,0.1145,0.1161,0.1114,0.095,0.09422,0.09955,0.119,0.1113,0.1164,0.1166,0.101,0.1147,0.1285
33.9N,0.1573,0.1732,0.1653,0.1652,0.1643,0.1616,0.1548,0.1113,0.1097,0.11,0.1028,0.08769,0.08972,0.09021,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.1009,0.1038,0.1104
34N,0.1622,0.1603,0.1542,0.1599,0.1589,0.1611,0.1562,0.1471,0.1061,0.09614,0.0921,0.09244,0.08914,0.08959,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.1023,0.1124,0.1327
34.1N,0.1628,0.1518,0.1513,0.1548,0.1534,0.1497,0.1454,0.1478,0.1477,0.08668,0.09499,0.09658,0.08961,0.0918,0.09615,0.09434,-3.4E+38,-3.4E+38,0.1365,0.1347,0.1381
34.2N,0.1576,0.1558,0.1574,0.1569,0.1559,0.1564,0.1473,0.1484,0.1387,0.1399,0.1757,0.1184,0.1132,0.1178,0.1187,0.1171,0.1092,0.1366,0.1396,0.1446,0.1462
34.3N,0.1601,0.1642,0.1636,0.1609,0.1628,0.167,0.1528,0.1516,0.1443,0.1569,0.1755,0.1694,0.1667,0.1773,0.1748,0.1589,0.1496,0.1369,0.125,0.1443,0.1435
34.4N,0.1624,0.1646,0.1655,0.167,0.1674,0.1642,0.1556,0.145,0.1467,0.1762,0.1757,0.1619,0.1702,0.1763,0.1658,0.1529,0.1478,0.1484,0.1394,0.135,0.1408
34.5N,0.1669,0.1687,0.1738,0.1712,0.1691,0.1665,0.1668,0.1559,0.1786,0.1688,0.1562,0.1674,0.1624,0.1631,0.1566,0.1572,0.1565,0.1566,0.1538,0.1338,0.14
34.6N,0.1807,0.178,0.1827,0.1808,0.179,0.1772,0.2083,0.2047,0.1833,0.17,0.1412,0.1491,0.1482,0.1596,0.1544,0.1596,0.1592,0.1551,0.1571,0.1532,0.148
34.7N,0.176,0.167,0.1817,0.184,0.1748,0.1685,0.1576,0.1957,0.1991,0.1885,0.175,0.2147,0.2304,0.2321,0.17,0.1673,0.165,0.1587,0.151,0.1459,0.1462
34.8N,0.1686,0.1708,0.1754,0.1742,0.1712,0.1681,0.1621,0.163,0.1636,0.1694,0.1744,0.1804,0.1979,0.2097,0.1653,0.1643,0.153,0.1406,0.1362,0.1431,0.1481
34.9N,0.161,0.1585,0.1537,0.1613,0.1684,0.1709,0.1626,0.1631,0.1702,0.1572,0.1707,0.1632,0.1591,0.1521,0.1459,0.1531,0.1528,0.1559,0.1578,0.1464,0.1365
35N,-3.4E+38,-3.4E+38,0.1403,0.1498,0.1566,0.1567,0.1612,0.1619,0.1678,0.1736,0.1697,0.1561,0.1473,0.1476,0.1474,0.1568,0.1558,0.1549,0.1549,0.1491,0.1389
35.1N,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.1558,0.1544,0.1601,0.1651,0.169,0.1692,0.1662,0.1755,0.1519,0.1629,0.1587,0.1563,0.1537,0.1502,0.1456,0.1424,0.1393
35.2N,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.1497,0.15,0.1476,0.1684,0.1681,0.1685,0.1738,0.2044,0.1628,0.1677,0.1546,0.1507,0.1392,0.136,0.1426,0.1403,0.143
35.3N,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.1403,0.1423,0.1733,0.1854,0.18,0.1816,0.1661,0.152,0.1677,0.1443,0.139,0.1551,0.1518,0.145,0.1451,0.1495
35.4N,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.1915,0.195,0.1465,0.164,0.1607,0.1681,0.1512,0.1469,0.1484,0.1414,0.1264,0.1598,0.1575,0.147,0.1576
35.5N,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.1804,0.1429,0.1661,0.1547,0.1588,0.1486,0.1475,0.1497,0.1751,0.1547,0.156,0.16,0.1606,0.1619
35.6N,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.1924,0.1942,0.1874,0.1562,0.1497,0.1487,0.1445,0.1488,0.1634,0.1594,0.1634,0.1588,0.1624,0.1588
35.7N,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.201,-3.4E+38,-3.4E+38,0.2372,0.2209,0.1892,-3.4E+38,0.1332,0.1404,0.1812,0.1766,0.1634,0.1665,0.1608,0.1561,0.1562
35.8N,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.158,0.1772,0.1894,0.2071,0.1818,0.1759,0.2446,0.2386,0.2409,0.1722,0.1699,0.1765,0.1616,0.1613,0.1865,0.1855,0.1777
35.9N,0.2416,0.2298,0.2176,0.2176,0.1378,0.1614,0.1587,-3.4E+38,0.1604,0.1432,0.2513,0.259,-3.4E+38,0.1645,0.1633,0.1588,0.1616,0.2072,0.194,0.1886,0.1581
36N,0.215,0.2091,0.2327,0.2389,0.1558,0.1814,0.1478,0.148,0.1584,0.2773,0.2651,0.1468,0.1547,0.1521,0.1533,0.1488,0.1431,0.1385,0.1475,0.1536,0.182
